%  label: Fitness-sharing, 17/03/26 02-06-08
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
87,0,0.09082031,0.5643429,0.66542166,0.3200001,0.48,0.22666667,0,0.3200001,0.48,0,16.262695,13,0.9267578
88,0,0.09277344,0.56636626,0.665438,0.3200001,0.48,0.23026316,0,0.3200001,0.48,0,16.260742,13,0.92578125
89,0,0.09375,0.56478286,0.6654539,0.3200001,0.48,0.22727273,0,0.3200001,0.48,0,16.260254,13,0.9248047
90,0,0.09472656,0.5640065,0.6654617,0.3200001,0.48,0.22580644,0,0.3200001,0.48,0,16.25293,13,0.9243164
91,0,0.095703125,0.56945395,0.66547704,0.3200001,0.48,0.2356688,0,0.3200001,0.48,0,16.257324,13,0.92333984
92,0,0.09667969,0.56788146,0.665492,0.3200001,0.48,0.2327044,0,0.3200001,0.48,0,16.255371,13,0.9223633
93,0,0.09765625,0.5663481,0.66550654,0.3200001,0.48,0.22981367,0,0.3200001,0.48,0,16.239258,13,0.9213867
94,0,0.09863281,0.5648523,0.6655207,0.3200001,0.48,0.22699386,0,0.3200001,0.48,0,16.243652,13,0.92041016
95,0,0.099121094,0.5699566,0.6655346,0.3200001,0.48,0.23636363,0,0.3200001,0.48,0,16.254883,13,0.9194336
96,0,0.099609375,0.5717227,0.66554815,0.3200001,0.48,0.23952095,0,0.3200001,0.48,0,16.253906,13,0.91845703
97,0,0.10058594,0.5717227,0.66554815,0.3200001,0.48,0.23952095,0,0.3200001,0.48,0,16.251953,13,0.91845703
98,0,0.1015625,0.5702164,0.6655613,0.3200001,0.48,0.2366864,0,0.3200001,0.48,0,16.245605,13,0.91748047
99,0,0.10253906,0.56874543,0.66557425,0.3200001,0.48,0.23391813,0,0.3200001,0.48,0,16.240723,13,0.9165039
100,0,0.103515625,0.5712307,0.6655418,0.3200001,0.48,0.23837209,0,0.3200001,0.48,0,16.242188,13,0.9160156
101,0,0.10546875,0.5680485,0.6655418,0.3200001,0.48,0.23255815,0,0.3200001,0.48,0,16.240234,13,0.9160156
102,0,0.10839844,0.56733406,0.6655483,0.3200001,0.48,0.23121387,0,0.3200001,0.48,0,16.233398,13,0.91552734
103,0,0.109375,0.56662774,0.66555476,0.3200001,0.48,0.22988506,0,0.3200001,0.48,0,16.243652,13,0.91503906
104,0,0.11035156,0.56709075,0.66556734,0.3200001,0.48,0.23295455,0,0.3200001,0.48,0,16.249512,13,0.9140625
105,0,0.11230469,0.5663978,0.66557354,0.3200001,0.48,0.23163842,0,0.3200001,0.48,0,16.247559,13,0.9135742
106,0,0.11425781,0.5657127,0.6655797,0.3200001,0.48,0.23033708,0,0.3200001,0.48,0,16.261719,13,0.91308594
107,0,0.11621094,0.5643652,0.6655917,0.3200001,0.48,0.22777778,0,0.3200001,0.48,0,16.24414,13,0.9121094
108,0,0.11669922,0.56603926,0.6656035,0.3200001,0.48,0.23076923,0,0.3200001,0.48,0,16.21289,13,0.9111328
109,0,0.11767578,0.5676513,0.665615,0.3200001,0.48,0.23369566,0,0.3200001,0.48,0,16.231445,13,0.91015625
110,0,0.118652344,0.56698525,0.6656207,0.3200001,0.48,0.23243243,0,0.3200001,0.48,0,16.23291,13,0.90966797
111,0,0.119628906,0.571567,0.6656319,0.3200001,0.48,0.24064171,0,0.3200001,0.48,0,16.243652,13,0.9086914
112,0,0.12060547,0.57610065,0.6656428,0.3200001,0.48,0.24867725,0,0.3200001,0.48,0,16.251953,13,0.90771484
113,0,0.12158203,0.57540774,0.66564816,0.3200001,0.48,0.24736843,0,0.3200001,0.48,0,16.256836,13,0.90722656
114,0,0.122558594,0.5740435,0.6656588,0.3200001,0.48,0.24479167,0,0.3200001,0.48,0,16.257324,13,0.90625
115,0,0.12451172,0.57831967,0.66566914,0.3200001,0.48,0.2525773,0,0.3200001,0.48,0,16.247559,13,0.90527344
116,0,0.12548828,0.57831967,0.66566914,0.3200001,0.48,0.2525773,0,0.3200001,0.48,0,16.240234,13,0.90527344
117,0,0.12597656,0.57763314,0.66567427,0.3200001,0.48,0.25128207,0,0.3200001,0.48,0,16.234863,13,0.90478516
118,0,0.12695313,0.57763314,0.66567427,0.3200001,0.48,0.25128207,0,0.3200001,0.48,0,16.228516,13,0.90478516
119,0,0.12890625,0.5785882,0.6656794,0.3200001,0.48,0.25510204,0,0.3200001,0.48,0,16.224121,13,0.9042969
120,0,0.12988281,0.5772332,0.6656894,0.3200001,0.48,0.25252524,0,0.3200001,0.48,0,16.222168,13,0.9033203
